detected 8780830, inserted: 8780830 lines out of 4846853993; not in taxo: 4837926119
Done processing the product/categories file
2020-05-22 14:56:42,672 - parso.python.diff - DEBUG - line_lengths old: 1; new: 1
2020-05-22 14:56:42,672 - parso.python.diff - DEBUG - line_lengths old: 1; new: 1
2020-05-22 14:56:42,673 - parso.python.diff - DEBUG - -> code[replace] old[1:1] new[1:1]
2020-05-22 14:56:42,673 - parso.python.diff - DEBUG - -> code[replace] old[1:1] new[1:1]
2020-05-22 14:56:42,674 - parso.python.diff - DEBUG - parse_part from 1 to 1 (to 0 in part parser)
2020-05-22 14:56:42,674 - parso.python.diff - DEBUG - parse_part from 1 to 1 (to 0 in part parser)
2020-05-22 14:56:42,675 - parso.python.diff - DEBUG - diff parser end
2020-05-22 14:56:42,675 - parso.python.diff - DEBUG - diff parser end
2020-05-22 14:56:42,901 - parso.python.diff - DEBUG - diff parser start
2020-05-22 14:56:42,901 - parso.python.diff - DEBUG - diff parser start
2020-05-22 14:56:42,901 - parso.python.diff - DEBUG - line_lengths old: 1; new: 1
2020-05-22 14:56:42,901 - parso.python.diff - DEBUG - line_lengths old: 1; new: 1
2020-05-22 14:56:42,902 - parso.python.diff - DEBUG - -> code[replace] old[1:1] new[1:1]
2020-05-22 14:56:42,902 - parso.python.diff - DEBUG - -> code[replace] old[1:1] new[1:1]
2020-05-22 14:56:42,902 - parso.python.diff - DEBUG - parse_part from 1 to 1 (to 0 in part parser)
2020-05-22 14:56:42,902 - parso.python.diff - DEBUG - parse_part from 1 to 1 (to 0 in part parser)
2020-05-22 14:56:42,902 - parso.python.diff - DEBUG - diff parser end
2020-05-22 14:56:42,902 - parso.python.diff - DEBUG - diff parser end
2020-05-22 14:56:43,000 - parso.python.diff - DEBUG - diff parser start
2020-05-22 14:56:43,000 - parso.python.diff - DEBUG - diff parser start
2020-05-22 14:56:43,001 - parso.python.diff - DEBUG - line_lengths old: 1; new: 1
2020-05-22 14:56:43,001 - parso.python.diff - DEBUG - line_lengths old: 1; new: 1
2020-05-22 14:56:43,001 - parso.python.diff - DEBUG - -> code[replace] old[1:1] new[1:1]
2020-05-22 14:56:43,001 - parso.python.diff - DEBUG - -> code[replace] old[1:1] new[1:1]
2020-05-22 14:56:43,002 - parso.python.diff - DEBUG - parse_part from 1 to 1 (to 0 in part parser)
2020-05-22 14:56:43,002 - parso.python.diff - DEBUG - parse_part from 1 to 1 (to 0 in part parser)
2020-05-22 14:56:43,002 - parso.python.diff - DEBUG - diff parser end
2020-05-22 14:56:43,002 - parso.python.diff - DEBUG - diff parser end
2020-05-22 14:56:47,683 - parso.python.diff - DEBUG - diff parser start
2020-05-22 14:56:47,683 - parso.python.diff - DEBUG - diff parser start
2020-05-22 14:56:47,683 - parso.python.diff - DEBUG - line_lengths old: 1; new: 1
2020-05-22 14:56:47,683 - parso.python.diff - DEBUG - line_lengths old: 1; new: 1
2020-05-22 14:56:47,684 - parso.python.diff - DEBUG - -> code[replace] old[1:1] new[1:1]
2020-05-22 14:56:47,684 - parso.python.diff - DEBUG - -> code[replace] old[1:1] new[1:1]
2020-05-22 14:56:47,685 - parso.python.diff - DEBUG - parse_part from 1 to 1 (to 0 in part parser)
2020-05-22 14:56:47,685 - parso.python.diff - DEBUG - parse_part from 1 to 1 (to 0 in part parser)
2020-05-22 14:56:47,685 - parso.python.diff - DEBUG - diff parser end
2020-05-22 14:56:47,685 - parso.python.diff - DEBUG - diff parser end
2020-05-22 14:56:47,939 - parso.python.diff - DEBUG - diff parser start
2020-05-22 14:56:47,939 - parso.python.diff - DEBUG - diff parser start
2020-05-22 14:56:47,939 - parso.python.diff - DEBUG - line_lengths old: 1; new: 1
2020-05-22 14:56:47,939 - parso.python.diff - DEBUG - line_lengths old: 1; new: 1
2020-05-22 14:56:47,940 - parso.python.diff - DEBUG - -> code[replace] old[1:1] new[1:1]
2020-05-22 14:56:47,940 - parso.python.diff - DEBUG - -> code[replace] old[1:1] new[1:1]
2020-05-22 14:56:47,940 - parso.python.diff - DEBUG - parse_part from 1 to 1 (to 0 in part parser)
2020-05-22 14:56:47,940 - parso.python.diff - DEBUG - parse_part from 1 to 1 (to 0 in part parser)
2020-05-22 14:56:47,940 - parso.python.diff - DEBUG - diff parser end
2020-05-22 14:56:47,940 - parso.python.diff - DEBUG - diff parser end
2020-05-22 14:56:48,076 - parso.python.diff - DEBUG - diff parser start
2020-05-22 14:56:48,076 - parso.python.diff - DEBUG - diff parser start
2020-05-22 14:56:48,076 - parso.python.diff - DEBUG - line_lengths old: 1; new: 1
2020-05-22 14:56:48,076 - parso.python.diff - DEBUG - line_lengths old: 1; new: 1
2020-05-22 14:56:48,077 - parso.python.diff - DEBUG - -> code[replace] old[1:1] new[1:1]
2020-05-22 14:56:48,077 - parso.python.diff - DEBUG - -> code[replace] old[1:1] new[1:1]
2020-05-22 14:56:48,078 - parso.python.diff - DEBUG - parse_part from 1 to 1 (to 0 in part parser)
2020-05-22 14:56:48,078 - parso.python.diff - DEBUG - parse_part from 1 to 1 (to 0 in part parser)
2020-05-22 14:56:48,078 - parso.python.diff - DEBUG - diff parser end
2020-05-22 14:56:48,078 - parso.python.diff - DEBUG - diff parser end
2020-05-22 14:56:48,302 - parso.python.diff - DEBUG - diff parser start
2020-05-22 14:56:48,302 - parso.python.diff - DEBUG - diff parser start
2020-05-22 14:56:48,303 - parso.python.diff - DEBUG - line_lengths old: 1; new: 1
2020-05-22 14:56:48,303 - parso.python.diff - DEBUG - line_lengths old: 1; new: 1
2020-05-22 14:56:48,312 - parso.python.diff - DEBUG - -> code[replace] old[1:1] new[1:1]
2020-05-22 14:56:48,312 - parso.python.diff - DEBUG - -> code[replace] old[1:1] new[1:1]
2020-05-22 14:56:48,313 - parso.python.diff - DEBUG - parse_part from 1 to 1 (to 0 in part parser)
